Company,Brand,Product,Actual,Budgeted,Dummy,Month,Year, Price (US/ TT) , A&P 
Bryden Stokes ,Clean & White,475ML,290,550,0,November,2019, $8.97 ,
Bryden Stokes ,Clean & White,950ML,450,750,0,November,2019, $6.71 ,
Bryden Stokes ,Clean & White,1.89L,460,650,0,December,2019, $6.52 ,
Bryden Stokes ,Clean & White,2X3.78L,5460,5460,1,December,2019, $2.87 ,
Bryden Stokes ,Clean & White,3.78L,635,950,0,December,2019, $6.05 ,
Bryden Stokes ,Clean & White,475ML,137,450,0,December,2019, $8.97 ,
Bryden Stokes ,Clean & White,950ML,400,200,1,December,2019, $6.71 ,
C.F. International,Spotless,1.89L,0,280,0,January,2019, $5.83 ,
C.F. International,Spotless,3.78L,0,1175,0,January,2019, $5.34 ,
C.F. International,Spotless,1.89L,420,420,1,February,2019, $5.83 ,
C.F. International,Spotless,3.78L,420,420,1,February,2019, $5.34 ,
C.F. International,Spotless,475ML,420,420,1,February,2019, $7.38 ,
C.F. International,Spotless,950ML,420,420,1,February,2019, $6.20 ,
C.F. International,Spotless,1.89L,0,280,0,March,2019, $5.83 ,
C.F. International,Spotless,3.78L,0,745,0,March,2019, $5.34 ,
C.F. International,Spotless,475ML,0,280,0,March,2019, $7.38 ,
C.F. International,Spotless,950ML,0,280,0,March,2019, $6.20 ,
C.F. International,Spotless,1.89L,0,280,0,April,2019, $5.83 ,
C.F. International,Spotless,3.78L,0,1175,0,April,2019, $5.34 ,
C.F. International,Spotless,1.89L,500,280,1,May,2019, $5.83 ,
C.F. International,Spotless,3.78L,500,745,0,May,2019, $5.34 ,
C.F. International,Spotless,475ML,280,280,1,May,2019, $7.38 ,
C.F. International,Spotless,950ML,400,280,1,May,2019, $6.20 ,
C.F. International,Spotless,1.89L,400,0,1,June,2019, $5.83 ,
C.F. International,Spotless,3.78L,700,0,1,June,2019, $5.34 ,
C.F. International,Spotless,475ML,280,0,1,June,2019, $7.38 ,
C.F. International,Spotless,950ML,300,0,1,June,2019, $6.20 ,
C.F. International,Spotless,1.89L,0,280,0,July,2019, $5.83 ,
C.F. International,Spotless,3.78L,0,745,0,July,2019, $5.34 ,
C.F. International,Spotless,475ML,0,280,0,July,2019, $7.38 ,
C.F. International,Spotless,950ML,0,280,0,July,2019, $6.20 ,
C.F. International,Spotless,1.89L,400,0,1,August,2019, $5.83 ,
C.F. International,Spotless,3.78L,700,0,1,August,2019, $5.34 ,
C.F. International,Spotless,475ML,280,0,1,August,2019, $7.38 ,
C.F. International,Spotless,950ML,300,0,1,August,2019, $6.20 ,
C.F. International,Spotless,1.89L,0,280,0,September,2019, $5.83 ,
C.F. International,Spotless,3.78L,0,745,0,September,2019, $5.34 ,
C.F. International,Spotless,475ML,0,280,0,September,2019, $7.38 ,
C.F. International,Spotless,950ML,0,280,0,September,2019, $6.20 ,
